name,latitude,longitude,empty_slots,free_bikes,banking,ebikes,last_updated,payment-terminal,renting,returning,slots,uid,timestamp,occupancy_rate
Ségur - d'Estrées,48.851419978983,2.3097044974566,0,17,False,4,1970-01-01 00:00:01.697702231+00:00,False,1,1,19,7018,2023-10-19 08:13:57.448000+00:00,0.0
Granges aux Belles,48.8761373390584,2.3680844979417,26,1,False,0,1970-01-01 00:00:01.697702148+00:00,False,1,1,27,10115,2023-10-19 08:13:58.530000+00:00,96.29629629629629
Regnault - Patay,48.82435782216384,2.377065159380436,9,54,False,5,1970-01-01 00:00:01.697701936+00:00,False,1,1,63,13118,2023-10-19 08:13:57.962000+00:00,14.285714285714285
Gare Saint-Lazare - Place de Budapest,48.877753,2.327339,20,24,True,13,1970-01-01 00:00:01.697701992+00:00,True,1,1,44,9035,2023-10-19 08:13:58.368000+00:00,45.45454545454545
Edgar Quinet - Raspail,48.83940266673835,2.32971478253603,44,2,True,2,1970-01-01 00:00:01.697702058+00:00,True,1,1,46,14002,2023-10-19 08:13:57.419000+00:00,95.65217391304348
Clignancourt - Ordener,48.891457726153774,2.348636478060487,32,1,True,1,1970-01-01 00:00:01.697702209+00:00,True,1,1,35,18024,2023-10-19 08:13:57.325000+00:00,91.42857142857143
Dunkerque - Rocroy,48.880726,2.351464,23,0,False,0,1970-01-01 00:00:01.697701813+00:00,False,1,1,24,10029,2023-10-19 08:13:57.532000+00:00,95.83333333333334
Abbeville - Faubourg Poissonnière,48.879223,2.349147,10,4,True,2,1970-01-01 00:00:01.697702197+00:00,True,1,1,14,9002,2023-10-19 08:13:58.607000+00:00,71.42857142857143
Boulangers - Cardinal Lemoine,48.8462904,2.3521495,11,9,True,3,1970-01-01 00:00:01.697702087+00:00,True,1,1,20,5022,2023-10-19 08:13:58.028000+00:00,55.00000000000001
Boudreau - Auber,48.87219,2.329423,1,11,False,6,1970-01-01 00:00:01.697702131+00:00,False,1,1,14,9106,2023-10-19 08:13:58.680000+00:00,7.142857142857142
Gare de l'Est - Faubourg-Saint-Martin,48.875642647477,2.3594588041306,30,2,True,1,1970-01-01 00:00:01.697702134+00:00,True,1,1,32,10161,2023-10-19 08:13:58.304000+00:00,93.75
Pereire - Ternes,48.87973954830735,2.288012132048607,40,8,True,5,1970-01-01 00:00:01.697702225+00:00,True,1,1,48,17040,2023-10-19 08:13:57.037000+00:00,83.33333333333334
Douai - Bruxelles,48.88320784122797,2.3308449949028507,25,2,False,2,1970-01-01 00:00:01.697702132+00:00,False,1,1,27,9038,2023-10-19 08:13:57.106000+00:00,92.5925925925926
Champ de Mars - Cler,48.85669155011532,2.306646779179573,19,21,True,3,1970-01-01 00:00:01.697702225+00:00,True,1,1,41,7020,2023-10-19 08:13:58.146000+00:00,46.34146341463415
Quai de l'Horloge - Pont Neuf,48.857058739111,2.3417982839439,7,9,True,4,1970-01-01 00:00:01.697702143+00:00,True,1,1,17,1001,2023-10-19 08:13:58.822000+00:00,41.17647058823529
Gare Saint-Lazare - Isly,48.874777677621296,2.326515804784655,9,16,True,13,1970-01-01 00:00:01.697702191+00:00,True,1,1,27,8009,2023-10-19 08:13:57.717000+00:00,33.33333333333333
Ambroise Rendu - Porte Brunet,48.883667,2.395733,15,2,False,1,1970-01-01 00:00:01.697702202+00:00,False,1,1,17,19105,2023-10-19 08:13:58.442000+00:00,88.23529411764706
Gare de Lyon - Place Louis Armand,48.845515089794,2.3726498446286,21,35,True,12,1970-01-01 00:00:01.697702154+00:00,True,1,1,60,12151,2023-10-19 08:13:58.287000+00:00,35.0
Institut de France,48.857615678565,2.3358313530377,1,15,True,8,1970-01-01 00:00:01.697701978+00:00,True,1,1,17,6001,2023-10-19 08:13:58.432000+00:00,5.88235294117647
Porte Pouchet-Bessières,48.8978765,2.3230632,16,7,False,1,1970-01-01 00:00:01.697701980+00:00,False,1,1,23,17008,2023-10-19 08:13:58.297000+00:00,69.56521739130434
Vigée-Lebrun - Anselme Payen,48.838683941628375,2.3110422492027287,20,3,False,1,1970-01-01 00:00:01.697702194+00:00,False,1,1,24,15112,2023-10-19 08:13:57.984000+00:00,83.33333333333334
Institut du Monde Arabe - Saint-Germain,48.849063299501,2.3558086529374,0,36,True,6,1970-01-01 00:00:01.697702201+00:00,True,1,1,40,5020,2023-10-19 08:13:58.387000+00:00,0.0
Octave Gréard - Tour Eiffel,48.856502977696,2.2931787543289,6,26,True,8,1970-01-01 00:00:01.697702141+00:00,True,1,1,33,7025,2023-10-19 08:13:58.455000+00:00,18.181818181818183
Château - République,48.862923800596,2.4155035614967,17,8,False,3,1970-01-01 00:00:01.697702212+00:00,False,1,1,26,31706,2023-10-19 08:13:58.866000+00:00,65.38461538461539
Chartres - La Charbonnière,48.8847601,2.3534657,33,0,False,0,1970-01-01 00:00:01.697701864+00:00,False,1,1,34,18107,2023-10-19 08:13:57.593000+00:00,97.05882352941177
Lisbonne - Monceau,48.87745567681383,2.309694221419506,3,30,True,17,1970-01-01 00:00:01.697702222+00:00,True,1,1,33,8036,2023-10-19 08:13:56.841000+00:00,9.090909090909092
Moncey - Blanche,48.88006587474148,2.3310810327529907,11,5,False,5,1970-01-01 00:00:01.697702192+00:00,False,1,1,17,9028,2023-10-19 08:13:58.391000+00:00,64.70588235294117
Rochechouart lamartine,48.876719895109,2.344393021854,24,0,True,0,1970-01-01 00:00:01.697701990+00:00,True,0,0,24,9010,2023-10-19 08:13:57.938000+00:00,100.0
Jemmapes - Ecluses Saint-Martin,48.87748519186726,2.3660067468881607,10,4,True,3,1970-01-01 00:00:01.697702115+00:00,True,1,1,15,10025,2023-10-19 08:13:58.486000+00:00,66.66666666666666
Thionville - Ourcq,48.88917613743794,2.383365333080292,18,3,True,3,1970-01-01 00:00:01.697702023+00:00,True,1,1,24,19015,2023-10-19 08:13:58.501000+00:00,75.0
